Regions	H3K4me3.bam	
scaffold_1:98274745-98284745	1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;4.0;2.0;2.0;3.0;3.0;1.0;1.0;7.0;6.0;2.0;2.0;5.0;9.0;13.0;12.0;14.0;20.0;25.0;35.0;37.0;27.0;33.0;43.0;46.0;46.0;41.0;26.0;23.0;17.0;21.0;18.0;17.0;12.0;14.0;8.0;0.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:98303864-98313864	0.0;1.0;2.0;1.0;4.0;4.0;3.0;3.0;3.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;2.0;4.0;2.0;2.0;1.0;3.0;5.0;26.0;49.0;45.0;38.0;52.0;90.0;87.0;81.0;84.0;67.0;41.0;28.0;17.0;13.0;2.0;1.0;2.0;1.0;0.0;2.0;2.0;1.0;1.0;2.0;2.0;3.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;0.0	
scaffold_1:98892430-98902430	1.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;4.0;1.0;0.0;0.0;0.0;3.0;3.0;3.0;0.0;2.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;6.0;3.0;2.0;2.0;4.0;5.0;8.0;9.0;13.0;10.0;14.0;12.0;12.0;16.0;13.0;14.0;10.0;5.0;10.0;10.0;7.0;3.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0	
scaffold_1:100238833-100248833	0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;2.0;1.0;4.0;5.0;11.0;33.0;40.0;26.0;22.0;15.0;18.0;17.0;9.0;5.0;3.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0	
scaffold_1:100640463-100650463	0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;2.0;2.0;5.0;7.0;6.0;11.0;8.0;6.0;5.0;10.0;11.0;12.0;9.0;18.0;13.0;14.0;11.0;10.0;12.0;4.0;6.0;2.0;1.0;0.0;2.0;4.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;2.0;1.0;2.0;7.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;4.0;2.0;0.0;0.0;1.0	
scaffold_1:100701610-100711610	2.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;2.0;3.0;7.0;16.0;26.0;30.0;22.0;7.0;4.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;1.0;1.0;2.0;0.0	
scaffold_1:100806318-100816318	0.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;0.0;2.0;3.0;1.0;2.0;1.0;2.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;4.0;6.0;5.0;11.0;22.0;28.0;35.0;38.0;32.0;27.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:100836414-100846414	0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;3.0;2.0;2.0;2.0;4.0;6.0;5.0;6.0;1.0;2.0;3.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0	
scaffold_1:100949654-100959654	1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;3.0;2.0;5.0;11.0;27.0;45.0;41.0;43.0;22.0;20.0;18.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;1.0;2.0;0.0	
scaffold_1:100979244-100989244	1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;1.0;1.0;1.0;0.0;0.0;2.0;3.0;2.0;5.0;2.0;0.0;1.0;3.0;1.0;2.0;0.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;5.0;20.0;15.0;26.0;22.0;16.0;15.0;8.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;2.0;0.0;1.0;2.0;2.0;2.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0	
scaffold_1:100996416-101006416	0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;4.0;1.0;5.0;3.0;5.0;5.0;15.0;22.0;40.0;40.0;38.0;27.0;36.0;53.0;48.0;38.0;29.0;19.0;15.0;13.0;7.0;10.0;4.0;5.0;4.0;2.0;3.0;2.0;1.0;0.0;6.0;4.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;1.0;1.0;3.0;2.0	
scaffold_1:101011497-101021497	0.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;2.0;0.0;2.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;3.0;1.0;8.0;7.0;6.0;22.0;16.0;28.0;17.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;2.0;1.0;2.0;2.0;1.0;0.0;3.0;2.0;2.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0	
scaffold_1:101051399-101061399	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;8.0;32.0;22.0;14.0;0.0;5.0;0.0;0.0;0.0;20.0;8.0;4.0;11.0;8.0;7.0;5.0;3.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;2.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0	
scaffold_1:101090047-101100047	0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;2.0;0.0;0.0;0.0;0.0;10.0;0.0;30.0;14.0;17.0;17.0;46.0;25.0;12.0;44.0;37.0;27.0;17.0;12.0;12.0;6.0;3.0;0.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;2.0;1.0;5.0;0.0;3.0;4.0;1.0;1.0;0.0;0.0;2.0;0.0;2.0;1.0;0.0;1.0;4.0	
scaffold_1:101120506-101130506	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;5.0;9.0;10.0;11.0;6.0;7.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;3.0;4.0;4.0;1.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;3.0;2.0	
scaffold_1:101250068-101260068	2.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;3.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;4.0;2.0;4.0;6.0;5.0;13.0;18.0;11.0;9.0;6.0;5.0;3.0;2.0;3.0;2.0;0.0;1.0;1.0;0.0;1.0;3.0;1.0;0.0;2.0;2.0;1.0;1.0;2.0;5.0;8.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0	
scaffold_1:101257707-101267707	1.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;2.0;1.0;1.0;0.0;2.0;2.0;2.0;0.0;3.0;1.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;5.0;11.0;18.0;25.0;24.0;40.0;53.0;54.0;22.0;19.0;18.0;12.0;4.0;6.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:101283318-101293318	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;2.0;2.0;7.0;16.0;10.0;0.0;11.0;21.0;22.0;16.0;9.0;2.0;0.0;2.0;3.0;1.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;0.0;1.0;0.0;1.0;2.0;2.0;3.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0	
scaffold_1:101334845-101344845	2.0;0.0;1.0;1.0;1.0;2.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;3.0;1.0;1.0;1.0;0.0;1.0;4.0;4.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;5.0;1.0;0.0;4.0;7.0;9.0;16.0;15.0;25.0;25.0;28.0;25.0;16.0;13.0;10.0;2.0;3.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;4.0;1.0;1.0;1.0;1.0;0.0;0.0	
scaffold_1:101453066-101463066	0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;10.0;10.0;10.0;14.0;15.0;8.0;5.0;11.0;15.0;22.0;7.0;9.0;3.0;2.0;3.0;7.0;9.0;12.0;19.0;27.0;30.0;22.0;11.0;6.0;13.0;11.0;6.0;3.0;5.0;5.0;5.0;3.0;4.0;4.0;7.0;5.0;5.0;3.0;3.0;4.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0	
scaffold_1:101499320-101509320	1.0;3.0;3.0;5.0;6.0;7.0;2.0;0.0;1.0;3.0;1.0;0.0;3.0;4.0;1.0;1.0;3.0;3.0;1.0;1.0;2.0;4.0;5.0;2.0;2.0;2.0;6.0;3.0;1.0;2.0;3.0;3.0;3.0;5.0;3.0;3.0;1.0;1.0;4.0;4.0;3.0;3.0;1.0;2.0;3.0;3.0;3.0;4.0;4.0;7.0;5.0;4.0;3.0;1.0;2.0;5.0;4.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;2.0;4.0;3.0	
scaffold_1:101536062-101546062	2.0;1.0;0.0;1.0;2.0;2.0;2.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;6.0;8.0;11.0;16.0;30.0;29.0;21.0;17.0;8.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;2.0;2.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0	
scaffold_1:101613673-101623673	1.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;4.0;5.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;3.0;2.0;0.0;1.0;0.0;1.0;2.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;9.0;17.0;29.0;18.0;18.0;11.0;4.0;9.0;20.0;30.0;42.0;51.0;41.0;34.0;37.0;47.0;45.0;34.0;29.0;23.0;14.0;12.0;5.0;9.0;10.0;8.0;5.0;3.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;2.0;1.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;2.0	
scaffold_1:101664594-101674594	1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;0.0;5.0;5.0;6.0;12.0;14.0;21.0;26.0;17.0;18.0;14.0;7.0;1.0;4.0;2.0;1.0;0.0;2.0;2.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0	
scaffold_1:101744188-101754188	2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;10.0;9.0;13.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0	
scaffold_1:101746544-101756544	0.0;0.0;0.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;8.0;10.0;9.0;23.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0	
scaffold_1:101938062-101948062	1.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;3.0;2.0;0.0;0.0;1.0;2.0;2.0;3.0;3.0;4.0;6.0;10.0;10.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:101948193-101958193	0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;4.0;4.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;4.0;4.0;2.0;2.0;1.0;1.0;2.0;3.0;4.0;3.0;3.0;4.0;5.0;2.0;1.0;4.0;5.0;4.0;8.0;6.0;3.0;3.0;2.0;4.0;6.0;9.0;6.0;8.0;14.0;7.0;8.0;10.0;7.0;8.0;7.0;3.0;3.0;5.0;13.0;14.0;16.0;24.0;20.0;16.0;12.0;9.0;10.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;3.0;3.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0;2.0;1.0;4.0;2.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0	
scaffold_1:101960829-101970829	0.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;1.0;2.0;5.0;3.0;3.0;0.0;0.0;1.0;1.0;2.0;3.0;3.0;1.0;2.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;0.0;1.0;1.0;8.0;16.0;17.0;13.0;14.0;31.0;33.0;46.0;36.0;30.0;35.0;22.0;19.0;9.0;4.0;1.0;2.0;5.0;1.0;1.0;2.0;2.0;1.0;2.0;3.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;2.0;1.0;1.0;0.0;2.0;0.0;1.0;3.0;0.0;0.0;1.0	
scaffold_1:101977900-101987900	1.0;0.0;0.0;3.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;1.0;2.0;5.0;0.0;0.0;5.0;5.0;5.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;21.0;55.0;59.0;62.0;69.0;83.0;85.0;76.0;46.0;38.0;15.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;3.0;2.0;4.0;1.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0;2.0;1.0	
scaffold_1:102535474-102545474	0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;0.0;3.0;3.0;5.0;1.0;2.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;6.0;6.0;8.0;12.0;11.0;15.0;22.0;20.0;29.0;21.0;18.0;10.0;7.0;2.0;7.0;4.0;2.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:102571553-102581553	3.0;3.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;3.0;2.0;1.0;1.0;0.0;0.0;1.0;3.0;3.0;5.0;7.0;12.0;27.0;28.0;25.0;23.0;18.0;10.0;12.0;3.0;4.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;1.0;2.0;3.0;2.0;2.0;0.0;2.0;2.0;3.0;2.0;0.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0	
scaffold_1:102631671-102641671	0.0;2.0;1.0;0.0;1.0;2.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;4.0;1.0;0.0;1.0;0.0;0.0;6.0;7.0;20.0;42.0;71.0;78.0;68.0;34.0;18.0;9.0;11.0;7.0;2.0;4.0;4.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
